Disease,Do's,Don’ts
Hepatitis C,Do get regular blood tests to monitor your liver function and viral load.@Follow a low fat; lower sodium; high fiber diet with lots of fresh fruits and vegetables.@Work towards freedom from alcohol; tobacco; and drugs to support your liver health.,Don't share needles; syringes; or other drug paraphernalia with anyone.@Don't take any supplements; herbs; or over-the-counter medications without checking with your doctor first.@Don't ignore any signs of liver damage; such as jaundice; abdominal pain; or swelling.
Hepatitis D,Do get vaccinated for hepatitis B; as it can prevent hepatitis D infection.@Avoid alcohol; drugs; and tobacco; and practicing safe sex and hygiene.@Do seek medical attention if you have symptoms of hepatitis; such as fever; fatigue; nausea; vomiting; or jaundice.,Don't take any medication that may affect your liver; such as acetaminophen; without your doctor's approval.@Don't eat raw or undercooked meat or shellfish; as they may contain hepatitis D virus.
Hepatitis E,Practice good hygiene; including thorough handwashing with soap and water.@Ensure consumption of safe and properly cooked food; particularly when handling or consuming meat.@;Avoid consuming raw or undercooked shellfish; as they can be a source of the virus.,Don't drink untreated water from potentially contaminated sources.@Avoid close contact with individuals who have Hepatitis E to prevent transmission.@Avoid consuming raw or undercooked shellfish; as they can be a source of the virus.
Alcoholic hepatitis,Stop drinking alcohol completely; as it is the main cause of alcoholic hepatitis.@Seek professional help for alcohol addiction; such as counseling; therapy; or support groups.@Eat a nutritious diet that is low in fat and salt; and high in protein and fiber.,Don't drink coffee; tea; or other caffeinated beverages@;Don't smoke; as it can impair your liver function.@Don't ignore any symptoms of liver failure; such as jaundice; abdominal pain; or swelling; and seek emergency care immediately.
Tuberculosis,Follow the complete course of prescribed antibiotics.@Practice good respiratory hygiene; like covering your mouth when coughing.@Maintain good nutrition to strengthen your immune system.;Avoid close contact with others until you're no longer contagious.,Do not stop taking medications without consulting your healthcare provider.@Avoid alcohol and smoking during the treatment period.
Common Cold,Stay hydrated with fluids like water; herbal teas; and broths.@Get plenty of rest to support your immune system.@Use saline nasal spray or drops; or a humidifier or vaporizer; to moisten your nasal passages and relieve congestion.;Avoid close contact with others to prevent spreading the virus.,Don't rely solely on antibiotics; colds are usually viral; and antibiotics won't help.@Avoid excessive use of nasal decongestant sprays to prevent rebound congestion.
Pneumonia,Do seek medical attention if you have symptoms of pneumonia; such as fever; chills; cough; chest pain; or shortness of breath.@Stay hydrated with water and other fluids.,Don't ignore symptoms like difficulty breathing; seek medical attention promptly.@Avoid smoking and limit exposure to secondhand smoke.
Dimorphic Hemorrhoids (Piles),Do eat a high-fiber diet; such as fruits; vegetables; whole grains; and legumes; to soften your stools and prevent constipation and straining.@Do use over-the-counter creams; ointments; or suppositories; or sitz baths; to relieve the pain; swelling; and itching of your hemorrhoids.@Do exercise regularly; and avoid sitting or standing for long periods; to improve your blood circulation and prevent pressure on your veins.,Don't use dry or rough toilet paper; or wipes that contain alcohol@Don't lift heavy objects; or engage in strenuous activities@Don't scratch or rub your hemorrhoids
Heart attack,Do chew and swallow an aspirin; unless you are allergic or have been told not to by your doctor; as it can help prevent blood clots and reduce the damage to your heart.@Do loosen any tight clothing; and sit or lie down in a comfortable position@Seek emergency medical help immediately if you suspect a heart attack.,Don't ignore chest pain or discomfort.@Avoid heavy meals and excessive alcohol consumption.@Don't abruptly stop medications without consulting your healthcare provider.
Varicose veins,Elevate your legs above your heart level; especially when resting or sleeping; to improve your blood flow and reduce swelling.@Wear compression stockings as advised.@Maintain a healthy weight and engage in regular exercise.,Avoid prolonged standing or sitting.@Don't wear tight clothing that constricts blood flow.@Avoid high heels for extended periods.
Hypothyroidism,Follow a balanced diet rich in iodine and selenium.@Get regular thyroid function tests.@Take thyroid medication as prescribed by your doctor.,Don't self-adjust thyroid medication without medical guidance.@Avoid excessive intake of soy and certain supplements without consulting your doctor.@Don't neglect fatigue or other symptoms; report them to your healthcare provider.
Hyperthyroidism,Take prescribed medications as directed.@Follow a well-balanced diet with moderation in iodine-rich foods.@Attend regular follow-up appointments with your healthcare provider.,Don't consume excessive amounts of caffeinated beverages.@Avoid high-iodine foods like seaweed and certain fish.@Don't skip or alter medication doses without consulting your doctor.
Hypoglycemia,Eat regular; balanced meals and snacks.@Carry a source of fast-acting glucose for emergencies.@Inform close contacts about your condition and its symptoms so they can assist if needed.,Avoid skipping meals or fasting without medical guidance.@Don't delay treatment if you experience symptoms; address low blood sugar promptly.@Avoid excessive alcohol consumption on an empty stomach.
Osteoarthristis,Engage in regular low-impact exercises to maintain joint flexibility.@Maintain a healthy weight to reduce stress on joints.@Use assistive devices and joint protection techniques as recommended.,Avoid high-impact activities that strain the joints.@Don't ignore pain or overexert joints during flare-ups.@Avoid prolonged periods of immobility; incorporate movement into your routine.
Arthritis,Exercise regularly to strengthen muscles around affected joints.@Use hot or cold packs as directed for pain relief.@Follow prescribed medications and treatment plans.;Avoid excessive use of joints during flare-ups.,Don't self-prescribe over-the-counter medications without consulting your doctor.@Don't adopt a sedentary lifestyle; balance activity with adequate rest.
(vertigo) Paroymsal  Positional Vertigo,Perform prescribed canalith repositioning exercises.@Use caution when changing head positions to prevent triggering vertigo.@Maintain a consistent sleep pattern.,Avoid abrupt head movements or positions that trigger vertigo.@Don't ignore symptoms; seek medical attention for proper diagnosis and treatment.@Avoid excessive caffeine and salt intake; as they can worsen symptoms.
Acne,Cleanse your face regularly with a mild cleanser.@Use non-comedogenic skincare products.@Seek professional advice for appropriate acne treatments.,Avoid picking or squeezing acne lesions.@Don't use harsh or abrasive skincare products.@Avoid excessive sun exposure without sunscreen.
Urinary Tract Infection (UTI),Stay hydrated and urinate regularly.@Finish the full course of prescribed antibiotics.@Practice good personal hygiene; especially after using the bathroom.,Don't hold urine for a longer duration.@Avoid using harsh soaps  douches  or feminine hygiene sprays in the genital area  as they can disrupt the natural balance of bacteria and increase the risk of infection.
Psoriasis,Keep your skin moisturized with fragrance-free creams or ointments.@Manage stress through techniques like meditation or yoga; as stress can trigger flare-ups.@Follow your prescribed treatment plan; including medications and topical treatments.,Don't scratch or pick at psoriasis plaques; as it can worsen the condition and lead to infections.@Avoid excessive sun exposure without sunscreen; as sunburn can exacerbate psoriasis symptoms.@Don't abruptly stop medications without consulting your healthcare provider.
Impetigo,Take prescribed antibiotics as directed by your healthcare provider.@Keep the affected areas clean with mild soap and water.@Use a clean; damp cloth to gently remove crusts or scabs after soaking them.,Don't share personal items like towels or razors to prevent the spread of infection.@Avoid scratching the affected areas to prevent the infection from spreading.@Don't send your child to school or daycare until they have been on antibiotics for at least 24 hours.
Fungal infection,Keep the affected area clean and dry.@Use antifungal medications as prescribed.@Wear loose-fitting clothing.,Don't scratch the affected area.@Don't share personal items.@Don't ignore symptoms.
Allergy,Identify and avoid allergens.@Use antihistamines as prescribed.@Keep your environment clean.,Don't ignore symptoms.@Don't smoke or allow smoking in your home.@Don't use strong perfumes or scented products.
GERD,Eat smaller; more frequent meals.@Avoid trigger foods.@Elevate your head while sleeping.,Don't overeat.@Avoid trigger foods.@Don't lie down after eating.
Chronic cholestasis,Follow your healthcare provider's treatment plan.@Maintain a healthy diet.@Stay hydrated.,Don't consume alcohol.@Avoid high-fat foods.@Don't smoke.
Drug Reaction,Seek medical attention immediately.@Stop taking the suspected medication.@Inform healthcare providers about your reaction.,Don't take the medication again@Don't take other medications without consulting a healthcare provider.@Avoid self-diagnosis.
Peptic ulcer diseae,Follow your treatment plan.@Eat a healthy diet.@Manage stress.,Don't smoke.@Avoid trigger foods.@Don't take NSAIDs(Nonsteroidal anti-inflammatory drugs) that can irritate the stomach.
AIDS,Follow your antiretroviral therapy (ART) regimen.@Get regular medical check-ups.@Practice safe sex.,Don't engage in unprotected sex.@Don't share needles or other injection equipment.@Don't skip doses of your medication.
Diabetes,Monitor blood sugar levels regularly.@Follow a healthy diet.@Exercise regularly.,Don't skip meals.@Avoid sugary foods and beverages.@Don't neglect foot care.
Gastroenteritis,Stay hydrated.@Rest well.@Eat bland foods.,Don't consume dairy or fatty foods.@Avoid alcohol and caffeine.@Don't take anti-diarrheal medications without consulting a healthcare provider.
Bronchial Asthma,Use inhalers as prescribe.@Identify and avoid trigger.@Maintain a clean indoor environment.,Don't smoke or allow smoking in your home.@Avoid allergens and irritants.@Don't skip medication.
Hypertension,Monitor blood pressure regularly.@Follow a healthy diet.@Exercise regularly.,Don't consume excess sodium.@Avoid excessive alcohol consumption.@Don't smoke.
Migraine,Identify and avoid triggers.@Manage stress.@Maintain a regular sleep schedule.,Don't skip meals.@Avoid caffeine and alcohol.@Don't overuse pain medications.
Cervical spondylosis,Maintain good posture.@Exercise regularly.@Use proper ergonomics such as a supportive chair and a computer monitor at eye level to reduce strain on your neck.,Don't stay in one position for too long.@Avoid activities that strain your neck.@Don't use a high pillow.
Paralysis (brain hemorrhage),Follow your healthcare provider's treatment plan.@Attend follow-up appointments.@Practice rehabilitation exercises.,Don't skip medications.@Avoid strenuous activities.@Don't neglect self-care.
Jaundice,Get plenty of rest.@Stay hydrated.@Follow a healthy diet.,Don't consume alcohol.@Don't take medications that can harm your liver.@Don't ignore symptoms.
Malaria,Take antimalarial medication as prescribed.@Prevent mosquito bites.@Seek medical attention if you develop symptoms.,Don't delay treatment.@Avoid self-medication.@Don't ignore symptoms.
Chicken pox,"Keep the affected area clean and dry.@Take over-the-counter medications.@	Stay hydrated.",Don't scratch the rash.@Avoid aspirin.@Don't go to work or school.
Dengue,Stay hydrated.@Rest well.@Seek medical attention.,Don't take nonsteroidal anti-inflammatory drugs(NSAIDs) like aspirin; ibuprofen; and naproxen; as they can increase the risk of bleeding.@Avoid self-medication.@Don't ignore symptoms.
Typhoid,Take antibiotics as prescribed.@Drink clean water.@Eat well-cooked food.,Don't consume raw or undercooked food.@Avoid unpasteurized dairy products.@Don't use antibiotics without a prescription.
Hepatitis A,Practice good hygiene.@Get vaccinated.@Rest well.,Don't consume contaminated food or water.@Avoid close contact with infected individuals.@Don't consume alcohol.
Hepatitis B,Get vaccinated.@Get regular check-ups.@Practice safe sex.,Don't share needles.@Avoid alcohol.@Don't donate blood; organs; or tissue.
